title,year,journal,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
INVESTMENT ANALYSIS OF ENTERPRISE DATA WAREHOUSE IMPLEMENTATION WITH IT BALANCED SCORECARD AND INFORMATION ECONOMICS,2023.0,"Conference: The 6th International Conference on Management of Technology, Innovation, and Project",0.026450037382722304,0.02673009689541863,0.8935750293562784,0.026526191701680694,0.02671864466389991
A data warehouse architecture proposal and ETL analysis: a case study of an Albanian banking system,2023.0,Global Journal of Computer Sciences Theory and Research,0.024458502977979725,0.024622874190936114,0.02467581590206735,0.024514728643490514,0.9017280782855264
A Case Study of Success Factors for Data Warehouse Implementation and Adoption in Sales Planning,2017.0,AMCIS 2017 Proceedings,0.025955655066228506,0.026002086200613016,0.026013001598494106,0.025966286075279878,0.8960629710593845
Data Warehouse and Interactive Map for Promoting Cultural Heritage in Saudi Arabia Using GIS,2022.0,International Journal of Data Warehousing and Mining,0.026678693083024844,0.026743897456068085,0.893123134595859,0.026723818561176876,0.02673045630387126
Implementation of data warehouse: An improved data-driven decision-making approach,2022.0,Intelligent and Cloud Computing,0.025365280092714344,0.025589778982736865,0.8976884035039435,0.025497626055888834,0.025858911364716408
Easy designing steps of a local data warehouse for possible analytical data processing,2019.0,ADBU Journal of Engineering Technology,0.02505109943863156,0.02515916947936829,0.899344773376267,0.02521769098045279,0.025227266725280546
Re-engineering Enterprises Using Data Warehouse as a Driver and Requirements as an Enabler,2017.0,2017 IEEE 21st International Enterprise Distributed Object Computing Conference (EDOC),0.02530060966928828,0.02551491753542827,0.8983350910451194,0.025381762539004666,0.02546761921115939
Empowering Federal Efficiency: Building an Integrated Maintenance Management System (Imms) Data Warehouse for Holistic Financial And Operational Intelligence,2025.0,Sarcouncil Journal of Multidisciplinary,0.01990947099734005,0.019966597884870964,0.02005608591303489,0.9199573837175136,0.020110461487240477
"Implementation of Extract, Transform, Load on Data Warehouse and Business Intelligence Using Pentaho and Tableau to Analyse Sales Performance of Olist Store",2022.0,International Research Journal of Advanced Engineering and Science,0.026968063637743612,0.027212948030232467,0.02723193802766052,0.027144379381583233,0.8914426709227802
A trajectory data warehouse solution for workforce management decision-making,2023.0,Data Science and Management,0.021610603849431056,0.021729983323207816,0.021749627936155213,0.021697549212728127,0.9132122356784779
Development of Data Warehouse to Improve Services in IT Services Company,2018.0,2018 International Conference on Information Management and Technology (ICIMTech),0.028825794597605644,0.8839242051399743,0.02906646467864212,0.02901516033870379,0.029168375245074256
Modeling and automatic generation of data warehouse using model-driven transformation in business intelligence process,2023.0,Indonesian Journal of Electrical Engineering and Computer Science,0.026311150789074814,0.026451040976297264,0.026475015412283292,0.894115022060896,0.026647770761448603
A Brief IT-Project Risk Assessment Procedure for Business Data Warehouse Development,2021.0,Informatics and Cybernetics in Intelligent Systems,0.026489923664795873,0.8935787219608886,0.026561024243190488,0.02665130562030941,0.026719024510815544
Modelling of Data Warehouse With Making the Trend to Make Decision in Company XYZ,2022.0,INTERNATIONAL JOURNAL ENGINEERING AND APPLIED TECHNOLOGY (IJEAT),0.03216371088295485,0.032445689829861415,0.8706709475972441,0.03232789789114987,0.032391753798789814
Automated Data Warehouse Optimization Using Machine Learning Algorithms,2021.0,Journal of Computational Innovation,0.9238141456355471,0.018986263026881927,0.019115040320159565,0.0189402920954951,0.019144258921916388
"Driving U.S. Enterprise Agility: Unifying Finance, HR, and CRM with an Integrated Analytics Data Warehouse",2025.0,IPHO-Journal of Advance Research in Science And Engineering ,0.01816150911663764,0.018286148218454736,0.018180601182061214,0.018176430565425696,0.9271953109174208
A Review of Implementing AI-powered Data Warehouse Solutions to Optimize Big Data Management and Utilization,2024.0,"ACADEMIC JOURNAL ON BUSINESS ADMINISTRATION, INNOVATION & SUSTAINABILITY",0.020373123097906273,0.02053383119385455,0.9179619678873788,0.02047690541140296,0.02065417240945726
A Data Warehouse-Based System for Service Customization Recommendations in Product-Service Systems,2022.0,Sensors ,0.02423072932450939,0.02439915766258775,0.02434366551518671,0.9025675766629007,0.024458870834815447
Research on Creating a Data Warehouse Based on E-Commerce,2023.0,2023 IEEE International Conference on Smart Information Systems and Technologies (SIST),0.022214004852302658,0.022319805062197166,0.9106161392154442,0.02224467848230858,0.02260537238774752
Data Warehouse Design for the Bank X with Inmon Approach,2020.0,International Journal of Engineering and Emerging Technology,0.02907983920983466,0.8830320539224352,0.029335700779338926,0.02920339876376445,0.029349007324626714
Computer-aided system for metallurgy production output: From heterogeneous data bases to unified data warehouse,2018.0,"2018 Ural Symposium on Biomedical Engineering, Radioelectronics and Information Technology (USBEREIT)",0.847128480664776,0.03833087762312333,0.03819935206185657,0.03814518413923254,0.03819610551101156
An empirically-driven clustering framework for NoSQL data warehouse conversion: Optimizing column family design from relational big data using HDBSCAN,2026.0,Information and Software Technology,0.019202217888749807,0.019307413725218523,0.019290605151260947,0.01924196414243117,0.9229577990923397
Business Demand for a Cloud Enterprise Data Warehouse in Electronic Healthcare Computing,2026.0,Procedia Computer Science,0.031479919869025,0.8733017402038721,0.03173267965900563,0.031620237731480746,0.0318654225366167
The paradoxes of the reengineering of information flows for management control: A case study in a public university hospital,2024.0,International Journal of Accounting Information Systems,0.028308353120981542,0.8864027596941434,0.02836180717965836,0.028331526534024872,0.02859555347119171
Barriers encountered with clinical data warehouses: Recommendations from a focus group,2024.0,Computer Methods and Programs in Biomedicine,0.020670140812794502,0.020715912737767503,0.020778553671979533,0.916970121468172,0.0208652713092865
Enterprise Level Data Warehouse System Based on Hive in Big Data Environment,2024.0,Procedia Computer Science,0.025369411665373445,0.025508482962662334,0.02558890877395901,0.02540035088151721,0.898132845716488
"Implementing a Biomedical Data Warehouse From Blueprint to Bedside in a Regional French University Hospital Setting: Unveiling Processes, Overcoming Challenges, and Extracting Clinical Insight",2024.0,JMIR Medical Informatics,0.021280065267514466,0.021299036020884374,0.021222752199804067,0.021483066249892255,0.9147150802619048
ETL Maturity Model for Data Warehouse Systems: A CMMI Compliant Framework,2023.0,"Computers, Materials and Continua",0.021786915497691156,0.02193925169307231,0.021877048248175247,0.021844359815934168,0.9125524247451271
A novel metric for assessing structural complexity of data warehouse requirements models,2024.0,Expert Systems with Applications,0.026059849503577783,0.8953083296068955,0.02619979569186858,0.02613148787662077,0.02630053732103729
Design a Data Warehouse Schema from Document-Oriented database,2019.0,Procedia Computer Science,0.027604915885653107,0.02777622149724699,0.8890354148095405,0.02780082134574356,0.027782626461815847
Multi-Temperate Logical Data Warehouse Design for Large-Scale Healthcare Data,2021.0,Big Data Research,0.019953975565440325,0.0200262329551474,0.919928556377959,0.019998122429039394,0.02009311267241396
Implementation of Database Massively Parallel Processing System to Build Scalability on Process Data Warehouse,2018.0,Procedia Computer Science,0.02652174365851648,0.02664541238154791,0.893439420873285,0.026588609306489944,0.02680481378016056
A non-intrusive and reactive architecture to support real-time ETL processes in data warehousing environments,2023.0,Heliyon,0.02210283340079548,0.022198066322803495,0.022287493830645284,0.9109949910016583,0.022416615444097662
Design and Implementation of an Efficient Electronic Bank Management Information System Based Data Warehouse and Data Mining Processing,2022.0,Information Processing & Management,0.019136394607716895,0.9230453235788606,0.019261369397396103,0.019176130005038518,0.019380782410987944
A data warehouse hybrid design framework using domain ontologies for local good-governance assessment,2020.0,"Transforming Government: People, Process and Policy",0.020085961588173523,0.020345594758287126,0.020320874563192613,0.9189301874909137,0.020317381599433037
An empirical study of data warehouse implementation effectiveness,2017.0,International Journal of Management Science and Engineering Management,0.03276513712892189,0.03302146933260577,0.03333086173693104,0.03286493814985256,0.8680175936516887
Design and Implementation of Data Warehouse for a Higher Educational Institute in Sri Lanka,2021.0,2021 6th International Conference for Convergence in Technology (I2CT),0.8812308419365537,0.029666453491005686,0.029625775226458463,0.029502225406723134,0.02997470393925911
